GENDER	ID
MASC	219
MASC	220
MASC	221
MASC	222
MASC	223
MASC	224
MASC	225
MASC	226
MASC	227
MASC	228
MASC	229
MASC	230
MASC	231
MASC	232
MASC	233
MASC	234
MASC	235
MASC	236
MASC	237
MASC	238
MASC	239
MASC	240
MASC	241
MASC	242
MASC	243
MASC	244
MASC	245
MASC	246
MASC	247
MASC	248
MASC	249
MASC	250
MASC	251
MASC	252
MASC	253
MASC	254
MASC	255
MASC	256
MASC	257
MASC	258
MASC	259
MASC	260
MASC	261
MASC	262
MASC	263
MASC	264
MASC	265
MASC	266
MASC	267
MASC	268
MASC	269
MASC	270
MASC	271
MASC	272
MASC	273
MASC	274
MASC	275
MASC	276
MASC	277
MASC	278
MASC	279
MASC	280
MASC	281
MASC	282
MASC	283
MASC	284
MASC	285
MASC	286
MASC	287
MASC	288
MASC	289
MASC	290
MASC	291
MASC	292
MASC	293
MASC	294
MASC	295
MASC	296
MASC	297
MASC	298
MASC	299
MASC	300
FEM	1
FEM	2
FEM	3
FEM	4
FEM	5
FEM	6
FEM	7
FEM	8
FEM	9
FEM	10
FEM	11
FEM	12
FEM	13
FEM	14
FEM	15
FEM	16
FEM	17
FEM	18
FEM	19
FEM	20
FEM	21
FEM	22
FEM	23
FEM	24
FEM	25
FEM	26
FEM	27
FEM	28
FEM	29
FEM	30
FEM	31
FEM	32
FEM	33
FEM	34
FEM	35
FEM	36
FEM	37
FEM	38
FEM	39
FEM	40
FEM	41
FEM	42
FEM	43
FEM	44
FEM	45
FEM	46
FEM	47
FEM	48
FEM	49
FEM	50
FEM	51
FEM	52
FEM	53
FEM	54
FEM	55
FEM	56
FEM	57
FEM	58
FEM	59
FEM	60
FEM	61
FEM	62
FEM	63
FEM	64
FEM	65
FEM	66
FEM	67
FEM	68
FEM	69
FEM	70
FEM	71
FEM	72
FEM	73
FEM	74
FEM	75
FEM	76
FEM	77
FEM	78
FEM	79
FEM	80
FEM	81
FEM	82
FEM	83
FEM	84
FEM	85
FEM	86
FEM	87
FEM	88
FEM	89
FEM	90
FEM	91
FEM	92
FEM	93
FEM	94
FEM	95
FEM	96
FEM	97
FEM	98
FEM	99
FEM	100
FEM	101
FEM	102
FEM	103
FEM	104
FEM	105
FEM	106
FEM	107
FEM	108
FEM	109
FEM	110
FEM	111
FEM	112
FEM	113
FEM	114
FEM	115
FEM	116
FEM	117
FEM	118
FEM	119
FEM	120
FEM	121
FEM	122
FEM	123
FEM	124
FEM	125
FEM	126
FEM	127
FEM	128
FEM	129
FEM	130
FEM	131
FEM	132
FEM	133
FEM	134
FEM	135
FEM	136
FEM	137
FEM	138
FEM	139
FEM	140
FEM	141
FEM	142
FEM	143
FEM	144
FEM	145
FEM	146
FEM	147
FEM	148
FEM	149
FEM	150
FEM	151
FEM	152
FEM	153
FEM	154
FEM	155
FEM	156
FEM	157
FEM	158
FEM	159
FEM	160
FEM	161
FEM	162
FEM	163
FEM	164
FEM	165
FEM	166
FEM	167
FEM	168
FEM	169
FEM	170
FEM	171
FEM	172
FEM	173
FEM	174
FEM	175
FEM	176
FEM	177
FEM	178
FEM	179
FEM	180
FEM	181
FEM	182
FEM	183
FEM	184
FEM	185
FEM	186
FEM	187
FEM	188
FEM	189
FEM	190
FEM	191
FEM	192
FEM	193
FEM	194
FEM	195
FEM	196
FEM	197
FEM	198
FEM	199
FEM	200
FEM	201
FEM	202
FEM	203
FEM	204
FEM	205
FEM	206
FEM	207
FEM	208
FEM	209
FEM	210
FEM	211
FEM	212
FEM	213
FEM	214
FEM	215
FEM	216
FEM	217
FEM	218
FEM	219
FEM	220
FEM	221
FEM	222
FEM	223
FEM	224
FEM	225
FEM	226
FEM	227
FEM	228
FEM	229
FEM	230
FEM	231
FEM	232
FEM	233
FEM	234
FEM	235
FEM	236
FEM	237
FEM	238
FEM	239
FEM	240
FEM	241
FEM	242
FEM	243
FEM	244
FEM	245
FEM	246
FEM	247
FEM	248
FEM	249
FEM	250
FEM	251
FEM	252
FEM	253
FEM	254
FEM	255
FEM	256
FEM	257
FEM	258
FEM	259
FEM	260
FEM	261
FEM	262
FEM	263
FEM	264
FEM	265
FEM	266
FEM	267
FEM	268
FEM	269
FEM	270
FEM	271
FEM	272
FEM	273
FEM	274
FEM	275
FEM	276
FEM	277
FEM	278
FEM	279
FEM	280
FEM	281
FEM	282
FEM	283
FEM	284
FEM	285
FEM	286
FEM	287
FEM	288
FEM	289
FEM	290
FEM	291
FEM	292
FEM	293
FEM	294
FEM	295
FEM	296
FEM	297
FEM	298
FEM	299
FEM	300
